stable_id	legacy_alias	canonical_label	upstream_rank	frequency	wiktionary_page	wiktionary_revision	timestamp	section	english_section_sha256	definition
9517	wh-what	believer	10168	2443	78488	89718837	2026-03-01T00:05:51Z	Noun	63dbd97c1c4b5be54e033061f3938cdb7c7ed4dba3d1f21560de41729bc1a69b	A person who [[believe]]s; especially regarding [[religion]].
9526	it`s	tornado	10171	2441	44867	91509417	2026-07-06T18:42:29Z	Noun	61ef0bfc98fe077c8f2373cf3e71db4a1f5966c5a9eaeceb3f46843ac3332a9e	{{senseid|en|Q8081}}{{lb|en|meteorology}} A [[violent]] wind in the form of a mobile, rapidly [[rotate|rotating]], [[funnel cloud]] that has contacted the ground.
9567	'oh	cowardly	10172	2441	67941	89275039	2026-01-20T10:30:20Z	Adjective	476207fe1f129e3fd2c04598f7b02ef86e473d24b9d4ceca03c2add648a3f562	Showing [[cowardice]]; lacking in courage; weakly [[fearful]].
9587	'to	notch	10173	2440	70867	90661448	2026-05-10T16:30:35Z	Noun	13fbe9b59366ae8e5d04c7fd79b4ec9234a87a40440a8ab4f8eb6b8da16615cb	A V-[[shape]]d [[cut]].
9631	h.	winters	10175	2439	255685	86916056	2025-09-22T06:28:14Z	Adverb	acb5b93994bfbbd12b68d1b0fd712cc74a66237ab282672ac644e50b58dba110	{{lb|en|US}} In the winter.
9673	'est	annoy	10177	2439	41276	91574581	2026-07-12T03:29:32Z	Verb	60ae3b778be8f728a0123b990ecf1fb8806c7bf9e448bca583172ffedb9197f9	{{lb|en|transitive}} To [[disturb]] or [[irritate]], especially by continued or repeated acts; to bother with unpleasant deeds.
9810	ncis	loaf	10178	2438	54711	89454424	2026-02-04T18:23:08Z	Noun	390f4a56791f804051e1152d3498d436aad03aee5af95a5589c238d2b415ce15	{{senseid|en|bread}} {{q|also {{m|en|loaf of bread}}}} A [[block]] of [[bread]] after [[bake|baking]].
9923	tο	idiotic	10180	2438	206572	91126166	2026-06-07T23:14:29Z	Adjective	d85a361daa03d3abed82a63448ed02f604d935dd0658f8b2f01a5bbfeedc7ad4	{{lb|en|of a person or animal}} Pertaining to or resembling an [[idiot]]; characterised with behaviour resembling [[idiocy]].
9928	lapd	inconvenience	10181	2437	45183	91126307	2026-06-07T23:15:28Z	Noun	fbcfc65991200eb3fc78939ccce3d06531c8afeb0e876f7253be0413314d183b	The quality of being [[inconvenient]].
9965	waitin	plum	10182	2437	4770	91403072	2026-06-27T21:02:03Z	Noun	ecfe8c03b742080520bd971d49b8d4308bf1afab8b50ef80b73f11af42ca5951	''The fruit and its tree.''
