synset	en	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
00553140-a	according	menurut	según	selon	de acordo	kulingana	entsprechend	согласно	按照	従って	وفقا	अनुसार	göre
07644967-n	chicken	ayam	pollo	poulet	frango	kuku	Huhn	цыплёнок	鸡	鶏	دجاجة	मुर्गा	piliç
01383756-a	bigger	lebih besar	mayor	plus grand	maior	kubwa zaidi	größer	больший	更大	より大きな	أكبر	बड़ा	daha büyük
	grunting	mendengus	gruñidos	grogner	grunhindo	kunung'unika	grunzend	хрюканье	咕噜声	うめき声を上げる	الشخير	गुर्राना	homurdanma
01212469-a	low	kelam	bajo	bas	baixo	chini	niedrig	низкий	低	低い	منخفض	नीचा	alçak
07578363-n	helping	hidangan	porción	portion	porção	kusaidia	Portion	порция	一份食物	ポーション	حِصّة	मदद करना	yardım etmek
00817311-v	admit	membenarkan	admitir	reconnaître	reconhecer	kubali	zur Kenntnis nehmen	допускать	承认	認める	أعترف	स्वीकार करें	itiraf et
01653538-a	closed	ditutup	cerrado	fermé	fechado	imefungwa	geschlossen	закрыто	关闭	閉ざされた	مغلق	बंद	kapalı
06720784-n	names	nama	nombres	noms	nomes	majina	Namen	имена	名字	悪口	أسماء	नाम	isimler
02128286-v	witness	menyaksikan	atestiguar	voir	testemunha	shahidi	Zeuge	свидетель	目击	目撃+する	شاهد	गवाह	tanık
00094545-r	upstairs	di lantai atas	arriba	à l'étage	lá em cima	juu	oben	наверху	楼上	2階に	في الطابق العلوي	ऊपर	üst katta
05563770-n	arm	lengan	brazo	bras	braço	mkono	Arm	рука	胳膊	腕	ذراع	बांह	kol
02321757-v	steal	curi	robar	voler	furtar	kuiba	stehlen	воровать	偷	盗む	سرق	चोरी करना	çalmak
01593254-v	jimmy	membongkar	jimmy	levier	Jimmy	Jimmy	Jimmy	Джимми	吉米	こじ開ける	جيمي	जिमी	Jimmy
01371756-v	kick	melejang-lejangkan	chutar	coup de pied	chutar	teke	schießen	пинать	踢	蹴る	دأس	लात	tekme
00065294-r	twice	dua kali	dos veces	deux fois	duas vezes	mara mbili	zweimal	дважды	两次	二度	مرتين	दो बार	iki kez
01912159-v	cross	melacak	atravesar	franchir	atravessar	msalaba	Kreuz	преодолеть	十字	わたる	اِجْتاز	पार करना	çapraz
04565039-n	ways	cara	grada	Slipway	maneiras	njia	Wege	способы	方式	方法	طرق	तरीके	yollar
10580772-n	sergeant	sersan	sargento	sergent	sargento	sajenti	Feldwebel	сержант	军士	軍曹	رَقِيب	सार्जेंट	çavuş
00037641-r	indeed	begini	de hecho	certes	de fato	kweli	tatsächlich	действительно	确实	それはそれは	في الواقع	वास्तव में	gerçekten
14481080-n	gas	gas	estado gaseoso	gaz	gás	gesi	Gas	газ	气体	ガス	غاز	गैस	gaz
01205010-n	keeping	menjaga	conformidad	garder	mantendo	kutunza	behalten	сохранение	保留	維持する	حفظ	रखना	tutmak
11452218-n	energy	daya	energía	énergie	energia	kani	Energie	энергия	能量	エネルギー	طاقة	ऊर्जा	enerji
00173220-a	pregnant	gendut	embarazada	enceinte	grávida	wajamzito	schwanger	беременная	怀孕	妊娠	حامل	गर्भवती	gebe
02268351-v	waste	boros	cagar	claquer	desperdiçar	panchi	verschwenden	продувать	浪费	乱費+する	النفايات	बर्बादी	harcamak
	helped	membantu	ayudado	aidé	ajudou	kusaidiwa	hat geholfen	помог	帮助了	助けた	ساعد	मदद की	yardım etti
00864884-a	fired	dipecat	despedido	viré	demitido	kufukuzwa kazi	gefeuert	уволен	被解雇	解雇された	أطلقت	निकाल दिया गया	kovuldu
05790758-n	favorite	kegemaran	favorito	favori	favorito	kipenzi	Liebling	любимец	宠儿	お気に入り	المفضلة	पसंदीदा	favori
	tony	tony	tony	tony	Tony	Tony	Tony	Тони	托尼	トニー	توني	टोनी	Tony
02194286-v	taste	berasa	saborear	savourer	gosto	ladha	Geschmack	вкус	有某种味道	嘗める	ذاق	स्वाद	tat
	locked	terkunci	bloqueado	verrouillé	bloqueado	imefungwa	gesperrt	заперто	锁定	ロックされた	مغلق	ताला लगा दिया	kilitli
	places	tempat	lugares	lieux	lugares	maeneo	Orte	места	地方	場所	الأماكن	स्थान	yerler
00929718-n	writing	penggubahan	composición	œuvre	escrevendo	kuandika	Schreiben	письмо	写作	作文	كِتابة	लेखन	yazma
09586553-n	adam	Adam	Adam	Adam	Adão	adamu	Adam	Адам	亚当	アダム	آدم	एडम	Adem
	brothers	saudara laki-laki	hermanos	frères	irmãos	ndugu	Brüder	братья	兄弟	兄弟	الاخوة	भाइयों	kardeşler
	starts	dimulai	comienza	commence	começa	huanza	beginnt	начинается	开始	始まります	يبدأ	शुरू होता है	başlıyor
10472799-n	prince	pangeran	príncipe	prince	príncipe	mkuu	Prinz	принц	王子	王子	أمير	राजकुमार	prens
06290637-n	form	berbentuk	descriptor	forme	formulário	fomu	Formular	форма	形式	シニフィアン	شَكْل	प्रपत्र	biçim
02259239-a	sold	terjual	vendido	vendu	vendido	kuuzwa	verkauft	продан	卖完+的	売られた	مبِيع	बेच दिया	satıldı
02571536-a	silly	sinting	tonto	déraisonnable	bobo	mjinga	albern	глупый	古怪+的	とんま	سخيفة	मूर्ख	aptal
01024190-v	mention	melontarkan	mencionar	mentionner	mencionar	kutaja	erwähnen	упоминать	提到	触れる	اشار الى	उल्लेख	bahsetmek
01654628-v	build	bangun	construir	construire	construir	kujenga	bauen	строить	建设	建てる	بنى	निर्माण	yapmak
05547508-n	throat	tenggorok	garganta	gorge	garganta	koo	Kehle	горло	嗓子	喉	حنجرة	गला	boğaz
09304465-n	hole	liang	agujero	trou	buraco	shimo	Loch	дыра	小孔	穴	حُفْرة	छेद	delik
01788564-a	figured	pikir	figurado	compris	imaginei	kufikiri	dachte	понял	想通了	考えた	أحسب	लगा	düşündüm
09387222-n	track	arah	curso	chemin	curso	ujia	Weg	путь	路	道	صراط	ट्रैक	yol
07391863-n	ringing	berbunyi	tintineo	tintement	tocando	kupigia	klingelt	звон	响铃	リンリンという音	دَقّ	बज रहा है	zil
01348174-v	lock	mengancingkan	cerrar con llave	fermer	trancar	kufuli	abschließen	запирать	锁	ロック+する	أغْلق	ताला	kilit
05560787-n	leg	kaki	pierna	jambe	perna	mguu	Bein	нога	腿	脚	رجل	पांव	bacak
00079947-r	above	melampaui	arriba	au-dessus	acima	juu	früher	выше	上面	さきに	أعلاه	ऊपर	yukarıda
01048912-n	hiding	penyembunyian	disimulo	dissimulation	escondendo	kujificha	verstecken	прячется	隐藏	包みかくし	اِخْفاء	छिपाना	saklanmak
	steve	Steve	steve	steve	Steve	steve	Steve	Стив	史蒂夫	スティーブ	ستيف	स्टीव	Steve
	seemed	sepertinya	parecía	semblait	parecia	ilionekana	schien	казалось	似乎	見えた	بدا	लग रहा था	görünüyordu
07574602-n	breakfast	sarapan	desayuno	petit déjeuner	café-da-manhã	chakula cha asubuhi	Frühstück	завтрак	早饭	朝食	إفطار	नाश्ता	kahvaltı
03287733-n	engine	mesin	motor	moteur	motor	injini	Motor	двигатель	引擎	エンジン	محرك	इंजन	motor
02284578-a	written	bertulis	escrito	écrit	escrito	iliyoandikwa	geschrieben	написано	书面+的	書かれた	كِتابِيّ	लिखा हुआ	yazılı
00520214-a	complete	kafi	completo	complet	completo	kamili	ganz	полный	完全	コンプリート	كامل	पूरा	tamam
06277803-n	video	gambar	vídeo	vidéo	vídeo	filamu	Video	видео	视频	ビデオ	فيديو	वीडियो	video
06691989-n	applause	tepukan	aplauso	applaudissement	aplausos	makofi	Applaus	аплодисменты	鼓掌	喝采	تصفيق	तालियाँ	alkış
00027384-r	however	bagaimana	no obstante	néanmoins	não obstante	hata hivyo	nichtsdestoweniger	тем не менее	还是	それでも	ومع ذلك	हालाँकि	bununla birlikte
11495041-n	pressure	tekanan	presión	pression	pressão	shinikizo	Druck	давление	压力	圧力	ضغط	दबाव	basınç
01067694-a	fresh	baru	fresco	frais	fresco	safi	frisch	свежий	新鲜	新鮮	طازجة	ताजा	taze
04565375-n	weapon	senjata	arma	arme	arma	silaha	Waffe	оружие	武器	武器	سلاح	हथियार	silah
09436708-n	sky	langit	firmamento	ciel	céu	mbingu	Himmel	небо	天空	空	سماء	आसमान	gökyüzü
06341525-n	ms.	Nona	Señor	Mme	Sra.	ms.	Frau.	мс.	女士。	さん。	مللي.	सुश्री	Bayan.
04325704-n	stole	selendang	estola	étole	estola	aliiba	gestohlen	украл	偷	ストール	سرق	चुरा लिया	çaldı
00644503-n	study	kajian	estudio	recherche	estudar	soma	studieren	исследование	学习	調査	دراسة	अध्ययन	çalışma
00378664-v	burn	membakar	arder	incendier	queimar	kuchoma	abbrennen	сжечь дотла	烧光	全焼+する	حرق	जलाना	yanmak
05808794-n	reading	pembacaan	lectura	lecture	lendo	kusoma	Lesen	чтение	阅读	リーディング	مُطالعة	पढ़ना	okuma
08182379-n	crowd	keramaian	masa	foule	multidão	umati wa watu	Menschenmenge	толпа	人群	かたまり	حشْد	भीड़	kalabalık
02514187-v	treat	berinteraksi	tratar	traiter	tratar	kutibu	behandeln	лечить	处理	あしらう	عامل	इलाज	tedavi etmek
01866192-v	roll	beralun	rodar	rouler	rolar	roll	rollen	катить	滚动	転がる	دحرج	रोल	rulo
00132756-n	double	ganda	doble	double	duplo	mara mbili	doppelt	двойной	双	2塁打	مزدوج	दोगुना	çift
10636598-n	spirit	jiwa	espíritu	esprit	espírito	roho	Geist	душа	精神	精神	رُوح	आत्मा	ruh
14540765-n	danger	bahaya	peligro	danger	perigo	hatari	Gefahr	опасность	危险	危険	خطر	जोखिम	tehlike
13275847-n	cost	biaya	costo	coût	custo	gharama	Kosten	стоимость	成本	費用	كُلْفة	लागत	maliyet
01086545-a	empty	hampa	vacío	vide	vazio	utupu	leer	пустой	空	空	فارغ	रिक्त	boş
05093890-n	level	aras	nivel	niveau	nível	kiwango	Ebene	уровень	层次	レヴェル	درجة	स्तर	seviye
05935060-n	memory	ingatan	memoria	mémoire	memória	kumbukumbu	Erinnerung	память	回忆	メモリー	ذاكِرة	स्मृति	hafıza
	itself	itu sendiri	mismo	lui-même	em si	yenyewe	sich selbst	сам	本身	それ自体	نفسها	स्वयं	kendisi
00548326-n	acting	permainan	actuación	intérimaire	atuando	kuigiza	Schauspiel	актерское мастерство	演戏	プレイ	تمْثِيْل	अभिनय	oyunculuk
05682950-n	interest	faedah	interés	intérêt	interesse	maslahi	Interesse	интерес	兴趣	興味	اهتمام	स्वारस्य	faiz
05598147-n	nose	hidung	nariz	nez	nariz	pua	Nase	нос	鼻子	鼻	أنف	नाक	burun
	plans	rencana	planes	plans	planos	mipango	Pläne	планы	计划	計画	الخطط	योजनाएं	planlar
00127815-a	following	berikut	próximo	prochain	seguindo	kufuata	folgende	следующий	正在关注	次の	التالية	निम्नलिखित	takip ediyorum
02807731-n	bathroom	kamar mandi	cuarto de baño	salle de bains	banheiro	bafuni	Badezimmer	ванная	浴室	風呂場	حمام	स्नानघर	banyo
01288690-a	built	dibangun	reforzado	construit	construído	kujengwa	gebaut	построен	建成	建てられた	بنيت	निर्मित	inşa edilmiş
00407802-r	closer	lebih dekat	más cerca	plus près	mais perto	karibu zaidi	näher	ближе	在附近+地	近め	أقرب	करीब	daha yakın
11428023-n	ray	sinar	rayo	rayon	raio	ray	Strahl	луч	射线	光線	شعاع	किरण	ışın
11281555-n	sarah	Sarah	Sara	Sara	Sara	sarah	Sara	Сара	莎拉	サラ	سارة	सारा	Sare
08240169-n	band	bulatan	círculo	groupe	círculo	bendi	Zirkel	круг	乐队	グループ	حَلَقَة	बैंड	bant
	groans	mengerang	gemidos	gémit	gemidos	anaugulia	stöhnt	стоны	呻吟声	うめき声	آهات	कराहना	inliyor
00039941-r	apparently	kelihatannya	aparentemente	apparemment	aparentemente	inaonekana	scheinbar	по-видимому	看来	どうやら	ظاهرا	जाहिरा तौर पर	görünüşe göre
00085630-a	excited	bersemangat	apasionado	émotionnel	animado	msisimko	aufgeregt	взволнованный	兴奋	感情的	متحمس	उत्साहित	heyecanlı
	richard	richard	ricardo	Richard	Ricardo	richard	Richard	Ричард	理查德	リチャード	ريتشارد	रिचर्ड	Richard
	losing	kalah	perdiendo	perdre	perdendo	kupoteza	verlieren	потерять	失去	負ける	خسارة	हारना	kaybetmek
	animals	binatang	animales	animaux	animais	wanyama	Tiere	животные	动物	動物	الحيوانات	जानवर	hayvanlar
08220534-n	flight	penerbangan	escuadrilla	vol	vôo	ndege	Flug	полет	飞行	フライト	رِحْلة	उड़ान	uçuş
04726724-n	nature	alam	naturaleza	nature	natureza	asili	Natur	природа	本性	性質	طبِيعة	स्वभाव	doğa
00158503-v	raise	membesarkan	alzar	augmenter	aumentar	kuinua	erhöhen	поднять	提高	アップ+する	رفع	उठाना	yükseltmek
02081946-v	pop	buncit	abultar	bomber	pop	pop	Pop	выдаваться	凸出	つき出る	موسيقى البوب	पॉप	pop
09985075-n	client	klien	cliente	client	cliente	mteja	Kunde	клиент	客户	クライアント	العميل	ग्राहक	müvekkil
02866578-n	bomb	bom	bomba	bombe	bomba	bomu	Bombe	бомба	炸弹	爆弾	قنبلة	विस्फोटक	bomba
05546540-n	neck	leher	cuello	cou	pescoço	shingo	Hals	шея	颈	首	رقبة	गरदन	boyun
00921072-v	suspect	membaui	figurarse	soupçonner	suspeitar	mshukiwa	vermuten	подозревать	相信	勘ぐる	المشتبه به	संदिग्ध	şüpheli
02529264-a	warm	hangat	caliente	chaud	quente	joto	warm	тёплый	暖和	暖かい	دافئ	गरम	sıcak
01581305-a	extra	berlebih	superfluo	superflu	supérfluo	ziada	überflüssig	лишний	多余	冗長	اضافية	अतिरिक्त	ihtiyaçtan fazla
02876657-n	bottle	botol	botella	bouteille	garrafa	chupa	Flasche	бутылка	瓶子	瓶	زجاجة	शीशी	şişe
08465558-n	van	pelopor	vanguardia	avant-garde	vanguarda	gari	Avantgarde	авангард	先锋	アヴァンギャルド	شاحنة	वैन	kamyonet
01184932-a	heavy	berat	pesado	lourd	pesado	-zito	schwer	тяжёлый	重	重い	ثقيل	भारा	ağır
10278128-n	mommy	mami	mamá	maman	mamãe	mama	Mutti	мама	妈妈	お母さん	ماما	अम्माँ	anne
	dogs	anjing	perros	chiens	cães	mbwa	Hunde	собаки	狗	犬	كلاب	कुत्ते	köpekler
02390335-a	wild	anggara	incontrolado	sauvage	selvagem	mwitu	wild	дикий	失控+的	放埓	برية	जंगली	vahşi
00752847-a	ridiculous	menyedihkan	ridículo	ridicule	ridículo	kichekesho	lächerlich	нелепый	可笑	馬鹿らしい	سخيف	हास्यास्पद	saçma
00004722-r	simply	baru	sólo	juste	só	kwa urahisi	einfach	только	就	只	فقط	ज़रा	sadece
11124647-n	lee	Lee	Spike Lee	Spike Lee	sotavento	lee	Lee	Ли	李	スパイク・リー	لي	ली	Lee
00015388-n	animal	hewan	animal	animal	animal	mnyama	Tier	животное	动物	動物	حيوان	पशु	hayvan
	showed	menunjukkan	mostró	a montré	mostrou	ilionyesha	zeigte	показал	显示	示した	أظهر	दिखाया	gösterdi
04491388-n	billy	billy	porra	matraque	Billy	billy	Billy	Билли	比利	警棒	بيلي	बिली	Billy
00122661-n	shooting	berbedil-bedilan	balazo	tir	tiro	kaptula	Schuss	выстрел	发射	発射	إِطْلاق	शूटिंग	çekim
	keeps	terus	mantiene	garde	mantém	huhifadhi	hält	держит	保持	保つ	يبقي	रखता है	tutar
02944826-n	camp	kemah	campo	camp	acampamento	kambi	Lager	лагерь	安营	キャンプ	مخيم	शिविर	kamp
	guns	senjata	armas de fuego	armes à feu	armas	bunduki	Waffen	оружие	枪	銃	البنادق	बंदूकें	silahlar
02760116-a	medical	medis	médico	médical	médico	matibabu	medizinisch	медицинский	医	メディカル	طِبِّيّ	चिकित्सा	tıbbi
07506569-n	shame	memalukan	vergüenza	honte	vergonha	aibu	schade	позор	可耻的人	恥ずかしさ	خَجَل	शर्म की बात है	utanç
	hoping	berharap	esperando	en espérant	esperando	matumaini	hoffen	надеясь	希望	願って	على أمل	उम्मीद है	umut etmek
	whom	siapa	quien	qui	quem	nani	wen	кого	谁	誰	من	किसको	kim
01503061-n	bird	burung	pájaro	oiseau	pássaro	ndege	Vogel	птица	鸟	鳥	طائر	चिड़िया	kuş
04729984-n	majesty	martabat	majestad	majesté	majestade	ukuu	Majestät	величество	陛下	威儀	جلالة	महिमा	majesteleri
	flowers	bunga	flores	fleurs	flores	maua	Blumen	цветы	鲜花	花	زهور	फूल	çiçekler
01375831-a	famous	kenamaan	famoso	fameux	famoso	maarufu	bekannt	известный	有名	有名	مشهور	प्रसिद्ध	ünlü
00187736-a	asleep	lelap	dormido	endormi	dormindo	amelala	schlafend	спит	睡着+的	就寝中の	نائما	सोया हुआ	uykuda
04683814-n	beauty	kecantikan	belleza	beauté	beleza	uzuri	Schönheit	красота	美丽	ビューティー	حُسْن	सौंदर्य	güzellik
10034906-n	driver	pemandu	conductor	conducteur	motorista	dereva	Fahrer	водитель	司机	運転手	سائق	चालक	sürücü
	keys	kunci	llaves	clés	chaves	funguo	Schlüssel	ключи	键	キー	مفاتيح	चाबियाँ	anahtarlar
11501381-n	rain	hujan	lluvia	pluie	chuva	mvua	Regen	дождь	雨	雨	مطر	बरसात	yağmur
01126291-a	awful	susah	abominable	terrible	horrível	mbaya	schrecklich	ужасный	令人憎恶+的	いとわしい	فظيعة	भयानक	korkunç
01382086-a	large	besar	grande	grand	grande	-kubwa	groß	большой	大	大きい	كبير	बड़ा	büyük
01106405-a	local	daerah	local	local	local	mtaa	lokal	местный	本地	現地	محلي	स्थानीय	yerel
02646378-v	deserve	patut	merecer	mériter	merecer	stahili	verdienen	заслуживать	值得	値する	استحق	योग्य	hak etmek
00670530-a	goddamn	terkutuk	maldita sea	putain	droga	mungu	Verdammt	черт возьми	该死的	くそー	اللعنة	लानत है	kahretsin
09416076-n	stone	batu	piedra	pierre	pedra	jiwe	Stein	камень	石	石	حجر	पत्थर	taş
	jane	jane	jane	Jeanne	Jane	jane	Jane	Джейн	简	ジェーン	جين	जेन	Jane
14458181-n	grace	anugerah	estado de gracia	grâce	graça	neema	Gnade	благодать	赦免	恵み	فضْل	अनुग्रह	lütuf
00690614-v	consider	berjumpa	considerar	estimer	considere	zingatia	überlegen	рассмотреть	考虑	思う	اِعْتبر	विचार करें	düşünmek
15170504-n	weekend	akhir minggu	fin de semana	fin de semaine	final de semana	wikendi	Wochenende	уик-энд	周末	週末	نهاية الأسبوع	सप्ताहांत	hafta sonu
00664879-a	wondering	bertanya-tanya	inquisitivo	spéculatif	imaginando	akishangaa	frage mich	интересно	想知道	不思議に思う	يتساءل	सोच रहा हूँ	merak ediyorum
01494310-v	lay	memasang	poner	placer	pôr	lala	setzen	класть	放	置く	وضع	रखना	koymak
05115568-n	plenty	banyak	plenitud	abondance	bastante	nyingi	reichlich	много	足够	いっぱい	الكثير	खूब	bol
02564986-a	willing	bersedia	complaciente	disposé	disposto	tayari	bereit	желающий	乐意+的	意欲的	مُسْتعِدّ	इच्छुक	istekli
02854739-n	pants	seluar panjang	bombacha	caleçon	calças	suruali	Hosen	брюки	女式灯笼裤	ブルーマース	بنْطلُون	पैंट	pantolon
10682953-n	sweetheart	kawan	corazón	ange	querido	mpenzi	Schatz	возлюбленная	甜心	思われ人	حبيبتي	जानेमन	tatlım
05238282-n	skin	kulit	cutis	cuir	pele	ngozi	Haut	кожа	外皮	スキン	بشْرة	त्वचा	cilt
02343110-a	excellent	cemerlang	excelente	excellent	excelente	bora	ausgezeichnet	отличный	棒	優れた	ممتاز	उत्कृष्ट	mükemmel
09815188-n	asshole	anak haram	desgraciado	fils de pute	filho da mãe	punda	Bastard	ублюдок	下贱人	屎	الأحمق	गधे	piç
09217230-n	beach	pantai	playa	plage	praia	pwani	Strand	пляж	海滩	浜	شاطئ	समुद्रतट	kumsal
13714491-n	c	c	C	degré Celsius	c	c	c	с	摄氏度	°C	درجة مِئوِيّة	सी	c
05946687-n	faith	iman	fe	foi	fé	imani	Glaube	вера	信念	信頼	إيمان	आस्था	inanç
00759269-v	beg	membawa tempurung	suplicar	implorer	suplicar	omba omba	anflehen	просить	乞求	哀求+する	تسول	भीख मांगना	yalvarmak
	fuckin	sialan	jodido	putain	porra	jamani	Verdammt	блядь	他妈的	くそー	فوكين	साला	lanet
01996377-a	responsible	bertanggung jawab	responsable	responsable	responsável	kuwajibika	verantwortlich	ответственный	负责	責任	مسؤول	जिम्मेदार	sorumlu
02764251-a	military	militer	militar	armée	militar	kijeshi	Militär	военный	军事+的	軍事的	عسْكرِيّ	सैन्य	askeri
07251779-n	cheering	jeritan	ovación	applaudir	torcendo	kushangilia	jubeln	аплодисменты	欢呼	声援	الهتاف	जयकार	tezahürat
14483917-n	opportunity	angin	oportunidad	occasion	oportunidade	fursa	Gelegenheit	возможность	机会	機会	فرصة	अवसर	fırsat
00492677-a	common	am	común	commun	comum	kawaida	häufig	общий	公共+的	共通	شائِع	सामान्य	ortak
08511241-n	bottom	dasar	parte inferior	fond	inferior	chini	unten	дно	下侧	ボトム	أسفل	नीचे	alt
02957469-a	german	Jerman	alemán	allemand	alemão	kijerumani	deutsch	немецкий	德国	ドイツ	ألماني	जरमन	alman
	whoever	siapa pun	quienquiera	qui que ce soit	quem quer que seja	yeyote	wer auch immer	кто бы то ни было	无论谁	誰でも	من	जो भी	kim olursa olsun
01665638-v	cook	memasak	cocinar	chef	cozinhar	kupika	kochen	готовить	厨师	料る	طبخ	खाना बनाना	aşçı
	walked	berjalan	caminó	marché	caminhou	alitembea	ging	шел	走过	歩いた	مشى	चला गया	yürüdü
06470073-n	papers	dokumen	documento	document	documento	karatasi	Unterlagen	документ	文件	ドキュメント	مُسْتَنَد	कागजात	belge
04850117-n	justice	berasas	justicia	justice	justiça	haki	Gerechtigkeit	справедливость	正义	正義	عدل	न्याय	adalet
03479952-n	hall	ruang masuk	pasillo	couloir	salão	ukumbi	Flur	коридор	走廊	玄関	القاعة	हॉल	koridor
09941964-n	commander	ketua	comandante	commandant	comandante	kamanda	Befehlshaber	командир	司令	司令	آمر	कमांडर	komutan
03247620-n	drug	ubat	droga	drogue	droga	dawa	Droge	наркотик	麻药	麻薬	دواء	दवा	uyuşturucu
01277426-a	main	terutama	principal	principal	principal	kuu	Haupt-	главный	首要	主	رَئِيسِيّ	मुख्य	ana
03623556-n	knife	pisau	cuchillo	couteau	faca	kisu	Messer	нож	刀	ナイフ	سكين	छुरी	bıçak
09543353-n	devil	hantu	Beelzebub	Belzébuth	Satanás	shetani	Beelzebub	Вельзевул	撒旦	サタン	شيطان	शैतान	Şeytan
01580050-a	necessary	keperluan	necesario	nécessaire	necessário	muhimu	nötig	необходимый	必要	必要	ضروري	ज़रूरी	gerekli
	although	meskipun	aunque	bien que	embora	ingawa	obwohl	хотя	虽然	けれども	بالرغم من ذلك	हालाँकि	buna rağmen
10474064-n	princess	aru	princesa	princesse	princesa	binti mfalme	Prinzessin	принцесса	公主	姫	أميرة	राजकुमारी	prenses
	lights	lampu	luces	lumières	luzes	taa	Lichter	огни	灯	ライト	أضواء	रोशनी	ışıklar
01562992-a	flying	terbang	volador	voler	voando	kuruka	fliegen	летающий	飞行	すばやい	تحلق	उड़ान	uçmak
10011785-n	dick	detektif	sabueso	détective privé	pau	dick	Schnüffler	ищейка	迪克	でか	ديك	डिक	çük
12620196-n	rose	bunga mawar	rosa	rose	rosa	waridi	Rose	роза	玫瑰	バラ	وردة	गुलाब	gül
01307690-a	knowing	mengetahui	astuto	raisonnable	sabendo	kujua	wissend	зная	知道	知っている	معرفة	जानना	bilmek
00039058-r	clearly	dengan jelas	claramente	clairement	claramente	kwa uwazi	klar	ясно	清楚地	疑いなく	بوضوح	स्पष्ट रूप से	açıkça
03497657-n	hat	topi	sombrero	chapeau	chapéu	chapeo	Hut	шляпа	帽子	帽子	قبعة	टोपी	şapka
02476338-a	agreed	setuju	aceptado	d'accord	concordou	alikubali	stimmte zu	согласен	同意+的	ハラショー	متفق عليه	सहमत	anlaştık
10628368-n	johnny	bertahan	johnny	rebeller	Johnny	johnny	Johnny	Джонни	约翰尼	ジョニー	جوني	जॉनी	Johnny
08544419-n	corner	penjuru	esquina	coin	canto	kona	Ecke	угол	角落	コーナー	رُكْن	कोने	köşe
06667317-n	code	kanun	código	code	código	kanuni	Kodifikation	кодекс	代码	式目	كود	कोड	kod
01020005-v	note	bertinjau-tinjauan	apuntar	remarquer	nota	kumbuka	Hinweis	Примечание	提	言い及ぶ	أبْدى مُلاحظة	नोट	not
	tommy	tomi	tommy	tommy	Tommy	tommy	Tommy	Томми	汤米	トミー	تومي	टॉमी	tommy
00136354-a	due	kedaluwarsa	adeudado	dû	devido	kutokana	fällig	причитаться	应付+的	期限の	بسبب	देय	vadesi gelmiş
00199659-v	correct	meluruskan	corregir	corriger	corrigir	timamu	ausbessern	исправлять	修正	正す	صحح	सही	düzeltmek
00892923-v	apologize	meminta maaf	excusarse	s'excuser	peça desculpas	kuomba msamaha	entschuldigen	извиниться	认错	詫びいる	اِعْتذر	क्षमा करें	özür dilemek
06282651-n	language	bahasa	lengua	langue	idioma	lugha	Sprache	язык	语言	言葉	لغة	भाषा	dil
	stars	bintang	estrellas	étoiles	estrelas	nyota	Sterne	звезды	星星	星	النجوم	सितारे	yıldızlar
00086528-r	faster	lebih cepat	más rápido	rapidement	mais rápido	haraka zaidi	schneller	быстрее	更快	より敏速に	أسرع	तेज़	daha hızlı
	cars	mobil	carros	voitures	carros	magari	Autos	автомобили	汽车	車	سيارات	गाड़ियाँ	arabalar
07971023-n	folks	orang-orang	amigos	les gens	pessoal	watu	Leute	ребята	伙计们	皆さん	والِدْين	दोस्तों	millet
00839526-v	bullshit	bakut	liar	taureau	besteira	ujinga	Blödsinn	чушь собачья	废话	でたらめ	هراء	बकवास	saçmalık
	i.	saya.	yo.	je.	eu.	i.	ich.	я.	岛	私は。	أنا.	मैं.	ben.
09908025-n	fellow	budak	tipo	bougre	companheiro	mwenzetu	Kerl	мужик	家伙	やつ	رجل	साथी	arkadaş
02268268-a	several	beberapa	varios	plusieurs	vários	kadhaa	mehrere	несколько	几个+的	いくつかの	عدة	अनेक	birkaç
10142747-n	grandma	nenek	abuela	grand-mère	avó	bibi	Großmutter	бабушка	奶奶	お婆さん	جدة	दादी	büyükanne
	shows	menunjukkan	muestra	montre	mostra	maonyesho	zeigt	шоу	节目	ショー	يظهر	दिखाता है	gösteriler
09623038-n	leader	ketua	líder	chef	líder	kiongozi	Anführer	руководитель	领导	指導者	قائد	नेता	lider
13152742-n	leaves	daun	hoja	feuille	folha	majani	Blatt	лист	叶	葉	ورقة	पत्ता	yaprak
04081281-n	restaurant	restoran	restaurante	restaurant	restaurante	mgahawa	Restaurant	ресторан	餐厅	レストラン	مطعم	रेस्टोरेन्ट	lokanta
00823350-a	east	timur	del este	est	oriental	mashariki	Osten	восточный	东	東部	شرْقِيّ	पूर्व	doğulu
07251779-n	shouting	jeritan	ovación	crier	gritando	kupiga kelele	schreien	кричать	喊叫	声援	الصراخ	चिल्लाना	bağırmak
02158826-a	blind	buta	ciego	aveugle	cego	kipofu	blind	слепой	瞎	視覚障害者	أعمى	अंधा	kör
05898171-n	ghost	bayangan	aparición	esprit	espectro	mzimu	Geist	призрак	鬼	ガイスト	شبح	भूत	hayalet
03147509-n	cup	cangkir	taza	tasse	xícara	kikombe	Tasse	чашка	杯子	カップ	كأس	प्याला	fincan
02210855-v	gotten	memahirkan	adquirir	acquérir	adquirir	kupata	erwerben	получил	取得	得る	حصل على	मिल गया	elde edildi
01447302-a	tight	kencang	apretado	serré	apertado	tight	eng	тугой	不松动+的	きつい	ضيق	तंग	sıkı
